point,type,elevation_ft,inches,nearest_quarter_in,transition,note
3,Shoring,-0.637,-7.6,"7 3/4""","Drops down 7.6 inches (~7 3/4"")",
4,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
5,test,0.000,0.0,,At datum - no change (0.0 in.),
6,new,0.159,1.9,"2""","Rises up 1.9 inches (~2"")",
7,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
8,new,0.250,3.0,"3""","Rises up 3.0 inches (~3"")",
9,new,0.000,0.0,,At datum - no change (0.0 in.),
10,new,0.010,0.1,"<1/4""","Rises up 0.1 inches (~<1/4"")",
11,new,0.245,2.9,"3""","Rises up 2.9 inches (~3"")",
13,new,0.167,2.0,"2""","Rises up 2.0 inches (~2"")",
14,new,0.159,1.9,"2""","Rises up 1.9 inches (~2"")",
15,new,0.159,1.9,"2""","Rises up 1.9 inches (~2"")",
16,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
18,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
19,new,0.213,2.6,"2 1/2""","Rises up 2.6 inches (~2 1/2"")",
20,new,0.066,0.8,"3/4""","Rises up 0.8 inches (~3/4"")",
21,new,0.240,2.9,"3""","Rises up 2.9 inches (~3"")",
22,new,0.169,2.0,"2""","Rises up 2.0 inches (~2"")",
23,TC,0.229,2.7,"2 3/4""","Rises up 2.7 inches (~2 3/4"")",
24,new,0.256,3.1,"3""","Rises up 3.1 inches (~3"")",
25,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
26,new,0.205,2.5,"2 1/2""","Rises up 2.5 inches (~2 1/2"")",
28,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
29,new,0.200,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
30,new,0.000,0.0,,At datum - no change (0.0 in.),
31,new TC,0.279,3.3,"3 1/4""","Rises up 3.3 inches (~3 1/4"")",
,new,0.250,3.0,"3""","Rises up 3.0 inches (~3"")",point no. illegible on sheet
33,new TC,0.250,3.0,"3""","Rises up 3.0 inches (~3"")",
34,new,0.090,1.1,"1""","Rises up 1.1 inches (~1"")",
100,EP,0.102,1.2,"1 1/4""","Rises up 1.2 inches (~1 1/4"")",
101,EP,0.066,0.8,"3/4""","Rises up 0.8 inches (~3/4"")",labels 101/102 overprint - verify
102,EP,0.019,0.2,"1/4""","Rises up 0.2 inches (~1/4"")",labels 101/102 overprint - verify
103,EP,0.087,1.0,"1""","Rises up 1.0 inches (~1"")",
104,EP,0.169,2.0,"2""","Rises up 2.0 inches (~2"")",
105,EP,0.166,2.0,"2""","Rises up 2.0 inches (~2"")",
106,EP,0.121,1.5,"1 1/2""","Rises up 1.5 inches (~1 1/2"")",
107,EP,0.111,1.3,"1 1/4""","Rises up 1.3 inches (~1 1/4"")",
108,EP,0.078,0.9,"1""","Rises up 0.9 inches (~1"")",
109,EP,-0.056,-0.7,"3/4""","Drops down 0.7 inches (~3/4"")",
110,EP,-0.145,-1.7,"1 3/4""","Drops down 1.7 inches (~1 3/4"")",
111,EP,-0.110,-1.3,"1 1/4""","Drops down 1.3 inches (~1 1/4"")",
112,EP,-0.020,-0.2,"1/4""","Drops down 0.2 inches (~1/4"")",
113,EP,-0.104,-1.2,"1 1/4""","Drops down 1.2 inches (~1 1/4"")",
114,MS,-0.085,-1.0,"1""","Drops down 1.0 inches (~1"")",
115,MS,-0.055,-0.7,"3/4""","Drops down 0.7 inches (~3/4"")",
116,MS,-0.040,-0.5,"1/2""","Drops down 0.5 inches (~1/2"")",
117,MS,0.005,0.1,"<1/4""","Rises up 0.1 inches (~<1/4"")",
118,MS,0.048,0.6,"1/2""","Rises up 0.6 inches (~1/2"")",
119,MS,0.097,1.2,"1 1/4""","Rises up 1.2 inches (~1 1/4"")",
120,MS,0.060,0.7,"3/4""","Rises up 0.7 inches (~3/4"")",
121,MS,0.058,0.7,"3/4""","Rises up 0.7 inches (~3/4"")",
122,MS,0.027,0.3,"1/4""","Rises up 0.3 inches (~1/4"")",
123,MS,0.049,0.6,"1/2""","Rises up 0.6 inches (~1/2"")",
124,MS,-0.034,-0.4,"1/2""","Drops down 0.4 inches (~1/2"")",
125,TC,0.247,3.0,"3""","Rises up 3.0 inches (~3"")",
126,TC,0.235,2.8,"2 3/4""","Rises up 2.8 inches (~2 3/4"")",
127,TC,0.239,2.9,"2 3/4""","Rises up 2.9 inches (~2 3/4"")",
128,TC,0.304,3.6,"3 3/4""","Rises up 3.6 inches (~3 3/4"")",
129,TC,0.254,3.0,"3""","Rises up 3.0 inches (~3"")",
130,TC,0.159,1.9,"2""","Rises up 1.9 inches (~2"")",
131,SW,0.056,0.7,"3/4""","Rises up 0.7 inches (~3/4"")",
132,SW,0.043,0.5,"1/2""","Rises up 0.5 inches (~1/2"")",
133,SW,0.308,3.7,"3 3/4""","Rises up 3.7 inches (~3 3/4"")",
134,SW,0.201,2.4,"2 1/2""","Rises up 2.4 inches (~2 1/2"")",
135,SW,0.194,2.3,"2 1/4""","Rises up 2.3 inches (~2 1/4"")",
136,SW,0.093,1.1,"1""","Rises up 1.1 inches (~1"")",
137,SW,0.170,2.0,"2""","Rises up 2.0 inches (~2"")",
138,SW,0.077,0.9,"1""","Rises up 0.9 inches (~1"")",
139,SW,0.001,0.0,,At datum - no change (0.0 in.),
140,SW,0.019,0.2,"1/4""","Rises up 0.2 inches (~1/4"")",
141,SW,0.106,1.3,"1 1/4""","Rises up 1.3 inches (~1 1/4"")",
142,SW,0.152,1.8,"1 3/4""","Rises up 1.8 inches (~1 3/4"")",
143,SW,0.193,2.3,"2 1/4""","Rises up 2.3 inches (~2 1/4"")",
144,SW,0.124,1.5,"1 1/2""","Rises up 1.5 inches (~1 1/2"")",
145,SW,0.026,0.3,"1/4""","Rises up 0.3 inches (~1/4"")",
147,SW,0.007,0.1,"<1/4""","Rises up 0.1 inches (~<1/4"")",
148,SW,0.102,1.2,"1 1/4""","Rises up 1.2 inches (~1 1/4"")",
149,SW,-0.071,-0.9,"3/4""","Drops down 0.9 inches (~3/4"")",
150,SW,0.107,1.3,"1 1/4""","Rises up 1.3 inches (~1 1/4"")",
151,AC,0.008,0.1,"<1/4""","Rises up 0.1 inches (~<1/4"")",
152,AC,-0.036,-0.4,"1/2""","Drops down 0.4 inches (~1/2"")",
153,AC,0.001,0.0,,At datum - no change (0.0 in.),
154,Shoring,-0.448,-5.4,"5 1/2""","Drops down 5.4 inches (~5 1/2"")",
155,Apron,-0.054,-0.6,"3/4""","Drops down 0.6 inches (~3/4"")",
156,Shoring,-0.728,-8.7,"8 3/4""","Drops down 8.7 inches (~8 3/4"")",
157,Shoring,-0.629,-7.5,"7 1/2""","Drops down 7.5 inches (~7 1/2"")",
158,Shoring,-0.656,-7.9,"7 3/4""","Drops down 7.9 inches (~7 3/4"")",
159,Shoring,-0.599,-7.2,"7 1/4""","Drops down 7.2 inches (~7 1/4"")",
160,Shoring,-0.682,-8.2,"8 1/4""","Drops down 8.2 inches (~8 1/4"")",
161,Shoring,-0.700,-8.4,"8 1/2""","Drops down 8.4 inches (~8 1/2"")",
162,apron,-0.042,-0.5,"1/2""","Drops down 0.5 inches (~1/2"")",
163,Shoring,-0.668,-8.0,"8""","Drops down 8.0 inches (~8"")",
164,apron,-0.052,-0.6,"1/2""","Drops down 0.6 inches (~1/2"")",
165,Shoring,-0.682,-8.2,"8 1/4""","Drops down 8.2 inches (~8 1/4"")",
